id,iso,lang,text,openai/gpt4,ISO code,ISO language name,native_speakers,writing_system,language_family,region,continent,ISO639P3code,Macroarea,Family,Subfamily,Genus,script_simplified,is_indo_european,xlm-roberta-base,bert-base-uncased,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,bigscience/bloom,StabilityAI/stablelm-base-alpha-7b,google/flan-t5-base,facebook/mbart-large-50,facebook/nllb-200-distilled-600M,EleutherAI/gpt-neox-20b,Xenova/gpt-4o,Xenova/claude-tokenizer,CohereForAI/aya-101,meta-llama/Meta-Llama-3-70B,mistralai/Mixtral-8x22B-v0.1,google/gemma-7b,simbolo-ai/multilingual-partial-syllable-tokenizer,Cohere/multilingual-22-12,Cohere/Cohere-embed-multilingual-v3.0
11,my-MM,Burmese,ကျေးဇူးပြုပြီး မီး ပိတ် ပေးပါ,55,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,51.0,46.0,9.0,12.0,10.0,46.0,15,33,13,55,42,27,41,9,8
17,my-MM,Burmese,ခန်းမ ထဲက အလင်းများ ကို လျှော့ပါ,60,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,15.0,7.0,15.0,52.0,50.0,11.0,15.0,12.0,50.0,16,27,14,60,53,24,48,14,11
24,my-MM,Burmese,အခန်း တစ်ခန်း ကို ပိုမှောင် အောင် ပြုလုပ်ပါ,81,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,15.0,8.0,15.0,66.0,65.0,13.0,15.0,14.0,65.0,18,38,14,81,54,32,65,12,11
26,my-MM,Burmese,တိုက်ခန်း ကို သန့်ရှင်းပါ,48,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,5.0,10.0,38.0,37.0,7.0,10.0,8.0,37.0,11,21,9,48,34,18,37,9,7
30,my-MM,Burmese,သန့်ရှင်းရေးကကောင်းတယ် ဖုန်တွေအရမ်းဆိုးတယ်မင်းရဲ့မှော်အစွမ်းနဲဲ့ငါ့ ကော်ဇော ကိုသန့်ရှင်းရေးလုပ်လိုက်နော်,205,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,38.0,6.0,38.0,172.0,162.0,9.0,38.0,37.0,162.0,52,96,38,205,147,80,148,39,35
42,my-MM,Burmese,ငါ့ရဲ့ ရနိုင်တဲ့မှတ်ဉာဏ်က အခြေအနေကို ပေးပါ,81,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,19.0,6.0,19.0,72.0,70.0,9.0,19.0,13.0,70.0,24,45,18,81,65,35,63,13,15
53,my-MM,Burmese,တရုတ် အစားအစာအတွက် အရောက်ပို့ ပေးတဲ့ရွေးချယ်မှုတွေထဲက အကောင်းဆုံးတွေကိုစာရင်းပြုစုပေးပါ,170,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,23.0,7.0,23.0,156.0,134.0,11.0,23.0,24.0,134.0,41,84,21,170,120,70,127,25,18
58,my-MM,Burmese,grassmarket အနီး ငါ့ အိမ်ယူစနစ် ထိုင်းစာ များကို ရှာပါ,82,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,19.0,10.0,19.0,71.0,70.0,15.0,19.0,18.0,70.0,28,44,17,82,63,34,77,17,14
67,my-MM,Burmese,ငါ ဆိုတေး ရဲ့ မီးအိမ်ရှင် ကို နားထောင်ချင်တယ်,85,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,15.0,8.0,15.0,72.0,70.0,13.0,15.0,14.0,70.0,23,47,16,85,66,34,67,14,13
68,my-MM,Burmese,ငါ့ကို idiots ရဲ့ ဘာလိုနေသေးလဲ ဖွင့်ပေးပါ,66,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,16.0,7.0,16.0,62.0,60.0,11.0,16.0,14.0,60.0,21,37,16,66,61,31,58,14,13
74,my-MM,Burmese,အခုဘယ်တီးဝိုင်းတီးနေတာလဲ,48,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,3.0,10.0,44.0,37.0,3.0,10.0,10.0,37.0,15,28,8,48,41,20,35,11,8
90,my-MM,Burmese,ငါ့ညစာအော်ဒါက ဘာလဲ,35,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,4.0,12.0,32.0,30.0,5.0,12.0,11.0,30.0,13,22,10,35,35,17,27,11,10
99,my-MM,Burmese,ဒီအပတ် မိုးလေဝသ ခန့်မှန်းချက်က ဘယ်လိုလဲ,75,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,16.0,6.0,16.0,63.0,63.0,9.0,16.0,16.0,63.0,22,40,16,75,68,31,61,17,13
107,my-MM,Burmese,ဝမ်းနည်းတတ်တဲ့ချစ်သူ နားထောင်မယ်,63,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,11.0,4.0,11.0,51.0,49.0,5.0,11.0,10.0,49.0,16,32,11,63,51,24,48,13,9
109,my-MM,Burmese,ငါဘုရင်မ အပေါ် တင်ထားတယ်,46,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,5.0,12.0,38.0,37.0,7.0,12.0,10.0,37.0,16,27,10,46,35,19,38,10,8
112,my-MM,Burmese,လေးဖြူ သီချင်း အချို့ နားထောင်မယ်,63,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,55.0,54.0,9.0,12.0,11.0,54.0,17,32,12,63,56,25,48,9,8
